"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Free/Reduced Price Meal Eligibility (3-level),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Achievement First Bridgeport Academy District,2850013,ELA,F,387,42.9,297,48.5,*,*,520,64.6,316,38.6,372,43
Achievement First Bridgeport Academy District,2850013,ELA,N,95,54.7,197,*,*,*,*,*,160,56.9,119,53.8
Achievement First Bridgeport Academy District,2850013,ELA,R,58,50,36,*,*,*,*,*,55,49.1,57,52.6
Achievement First Bridgeport Academy District,2850013,Math,F,387,39.5,297,46.5,*,*,519,54.1,308,19.8,370,18.9
Achievement First Bridgeport Academy District,2850013,Math,N,95,51.6,197,*,*,*,*,*,159,38.4,116,37.9
Achievement First Bridgeport Academy District,2850013,Math,R,58,43.1,36,69.4,*,*,*,*,55,29.1,56,30.4
Achievement First Hartford Academy District,2880013,ELA,F,589,44.8,614,51.5,*,*,*,*,379,38.3,341,40.5
Achievement First Hartford Academy District,2880013,ELA,N,*,*,*,*,*,*,*,*,107,47.7,135,41.5
Achievement First Hartford Academy District,2880013,ELA,R,*,*,*,*,*,*,*,*,56,44.6,40,50
Achievement First Hartford Academy District,2880013,Math,F,585,29.7,612,43.1,*,*,*,*,370,23.5,340,21.5
Achievement First Hartford Academy District,2880013,Math,N,*,*,*,*,*,*,*,*,105,32.4,135,19.3
Achievement First Hartford Academy District,2880013,Math,R,*,*,*,*,*,*,*,*,55,32.7,39,20.5
Amistad Academy District,2790013,ELA,F,361,47.6,345,42,*,*,521,55.3,354,34.2,384,34.6
Amistad Academy District,2790013,ELA,N,84,71.4,136,57.4,*,*,*,*,135,57,103,48.5
Amistad Academy District,2790013,ELA,R,89,66.3,50,50,*,*,*,*,58,46.6,56,44.6
Amistad Academy District,2790013,Math,F,360,43.3,345,43.2,*,*,519,49.5,349,16,384,16.9
Amistad Academy District,2790013,Math,N,84,53.6,136,63.2,*,*,*,*,133,30.1,99,32.3
Amistad Academy District,2790013,Math,R,89,58.4,50,56,*,*,*,*,58,24.1,55,30.9
Andover School District,0010011,ELA,F,*,*,*,*,21,*,*,*,14,*,*,*
Andover School District,0010011,ELA,N,133,78.2,115,74.8,86,79.1,80,77.5,63,*,60,71.7
Andover School District,0010011,ELA,R,*,*,*,*,7,*,*,*,*,*,*,*
Andover School District,0010011,Math,F,*,*,*,*,21,*,*,*,13,*,*,*
