"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Special Education Status (SWD),Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Achievement First Bridgeport Academy District,2850013,ELA,N,494,*,483,*,478,*,503,*,483,*,489,*
Achievement First Bridgeport Academy District,2850013,ELA,Y,46,*,47,*,45,20,40,35,48,14.6,59,13.6
Achievement First Bridgeport Academy District,2850013,Math,N,494,*,483,49.1,478,*,502,*,475,*,484,*
Achievement First Bridgeport Academy District,2850013,Math,Y,46,*,47,14.9,44,25,40,30,47,*,58,*
Achievement First Hartford Academy District,2880013,ELA,N,534,*,548,*,595,*,529,*,496,*,472,*
Achievement First Hartford Academy District,2880013,ELA,Y,55,*,66,*,85,17.6,69,17.4,46,*,44,*
Achievement First Hartford Academy District,2880013,Math,N,530,*,546,46.5,594,56.1,528,59.1,485,*,470,*
Achievement First Hartford Academy District,2880013,Math,Y,55,*,66,15.2,84,16.7,69,10.1,45,*,44,*
Amistad Academy District,2790013,ELA,N,498,*,493,*,506,*,477,*,501,*,489,*
Amistad Academy District,2790013,ELA,Y,36,*,38,*,32,*,44,*,46,*,54,*
Amistad Academy District,2790013,Math,N,498,*,493,*,506,*,475,*,495,*,484,*
Amistad Academy District,2790013,Math,Y,35,*,38,*,31,*,44,*,45,0,54,*
Andover School District,0010011,ELA,N,147,*,126,*,107,*,93,*,63,*,70,*
Andover School District,0010011,ELA,Y,9,*,8,*,7,*,6,*,14,*,12,*
Andover School District,0010011,Math,N,147,*,126,*,107,*,93,*,63,*,70,*
Andover School District,0010011,Math,Y,9,*,8,*,7,*,6,*,13,*,12,*
Ansonia School District,0020011,ELA,N,869,39.2,836,*,879,*,850,43.5,867,*,883,22.5
Ansonia School District,0020011,ELA,Y,168,7.7,179,8.9,184,7.6,189,6.9,174,*,187,3.2
Ansonia School District,0020011,Math,N,867,27.8,827,27.6,878,34.7,848,34.9,858,*,878,*
Ansonia School District,0020011,Math,Y,168,5.4,177,5.6,186,7.5,188,7.4,174,*,185,*
Area Cooperative Educational Services,2440014,ELA,N,1014,44.7,1010,*,968,*,925,*,876,*,849,38.5
Area Cooperative Educational Services,2440014,ELA,Y,260,8.5,246,6.5,271,7.7,278,8.3,286,8,278,4.7
Area Cooperative Educational Services,2440014,Math,N,1014,25.8,1010,*,969,33.7,923,39.5,872,22.5,847,*
