"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Year,,,,,,,,,,,
,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Achievement First Bridgeport Academy District,2850013,ELA,540,45.7,530,48.9,523,58.1,543,64.1,531,45.2,548,46.4
Achievement First Bridgeport Academy District,2850013,Math,540,42,530,46,522,54.4,542,53.3,522,26.4,542,24.2
Achievement First Hartford Academy District,2880013,ELA,589,44.8,614,51.5,680,57.1,598,58.7,542,40.8,516,41.5
Achievement First Hartford Academy District,2880013,Math,585,29.7,612,43.1,678,51.2,597,53.4,530,26.2,514,20.8
Amistad Academy District,2790013,ELA,534,54.5,531,46.7,538,50.7,521,55.3,547,41.1,543,38.3
Amistad Academy District,2790013,Math,533,47.5,531,49.5,537,51,519,49.5,540,20.4,538,21.2
Andover School District,0010011,ELA,156,75,134,73.1,114,72.8,99,73.7,77,53.2,82,62.2
Andover School District,0010011,Math,156,72.4,134,71.6,114,70.2,99,70.7,76,53.9,82,62.2
Ansonia School District,0020011,ELA,1037,34.1,1015,34.1,1063,37.8,1039,36.9,1041,23.2,1070,19.2
Ansonia School District,0020011,Math,1035,24.2,1004,23.7,1064,30,1036,29.9,1032,11.6,1063,15.1
Area Cooperative Educational Services,2440014,ELA,1274,37.3,1256,39.2,1239,40.2,1203,42.1,1162,33.9,1127,30.2
Area Cooperative Educational Services,2440014,Math,1268,21.2,1256,25.2,1232,27.1,1190,31.5,1147,17.6,1110,18.3
Ashford School District,0030011,ELA,232,62.5,248,59.7,230,62.2,243,53.9,230,53.9,222,55
Ashford School District,0030011,Math,232,48.7,248,43.1,230,44.8,240,43.3,229,39.3,221,43.4
Avon School District,0040011,ELA,1541,81.1,1529,80.2,1524,80.2,1496,78.9,1407,72.6,1452,69.5
Avon School District,0040011,Math,1541,75.3,1528,73.9,1524,75.4,1494,74.7,1406,63.1,1451,62.5
Barkhamsted School District,0050011,ELA,169,65.7,157,65.6,142,64.1,135,65.2,111,59.5,105,61
Barkhamsted School District,0050011,Math,169,36.7,156,42.3,141,41.1,135,57.8,111,50.5,105,62.9
Berlin School District,0070011,ELA,1312,68.7,1294,65.1,1240,66.6,1249,65.2,1135,60.2,1158,63.6
Berlin School District,0070011,Math,1308,53.4,1294,61.2,1237,61.8,1247,62,1128,52.2,1152,61.6
Bethany School District,0080011,ELA,224,65.2,221,69.2,210,72.4,202,72.3,211,73,244,72.1
