"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,Year,,,,,,,,,,,
,,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,School,School Code,Subject,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,ELA,540,45.7,530,48.9,523,58.1,543,64.1,531,45.2,548,46.4
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,Math,540,42,530,46,522,54.4,542,53.3,522,26.4,542,24.2
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,ELA,589,44.8,614,51.5,680,57.1,598,58.7,542,40.8,516,41.5
Achievement First Hartford Academy District,2880013,Achievement First Hartford Academy,2880113,Math,585,29.7,612,43.1,678,51.2,597,53.4,530,26.2,514,20.8
Amistad Academy District,2790013,Amistad Academy,2795113,ELA,534,54.5,531,46.7,538,50.7,521,55.3,547,41.1,543,38.3
Amistad Academy District,2790013,Amistad Academy,2795113,Math,533,47.5,531,49.5,537,51,519,49.5,540,20.4,538,21.2
Andover School District,0010011,Andover Elementary School,0010111,ELA,156,75,134,73.1,114,72.8,99,73.7,76,53.9,82,62.2
Andover School District,0010011,Andover Elementary School,0010111,Math,156,72.4,134,71.6,114,70.2,99,70.7,76,53.9,82,62.2
Ansonia School District,0020011,Ansonia High School,0026111,ELA,*,*,*,*,*,*,*,*,*,*,*,*
Ansonia School District,0020011,Ansonia High School,0026111,Math,*,*,*,*,*,*,*,*,*,*,*,*
Ansonia School District,0020011,Ansonia Middle School,0025111,ELA,343,27.1,340,34.1,362,35.6,336,38.1,488,23.4,535,19.8
Ansonia School District,0020011,Ansonia Middle School,0025111,Math,342,17.8,332,19.9,362,25.1,334,22.2,479,9.8,529,11.9
Ansonia School District,0020011,Mead School,0020311,ELA,346,33.2,330,33.3,348,39.9,347,34.9,276,*,267,19.1
Ansonia School District,0020011,Mead School,0020311,Math,346,23.7,330,24.2,348,33.3,347,30.3,276,*,267,20.6
Ansonia School District,0020011,Prendergast School,0020811,ELA,344,42.4,341,34.9,351,38.2,351,38.2,*,*,266,18
Ansonia School District,0020011,Prendergast School,0020811,Math,343,31.2,338,27.2,351,31.9,350,37.4,*,*,266,16.2
Area Cooperative Educational Services,2440014,ACES Mill Elementary School,2440214,ELA,*,*,*,*,*,*,17,*,52,*,*,*
Area Cooperative Educational Services,2440014,ACES Mill Elementary School,2440214,Math,*,*,*,*,*,*,16,*,48,0,*,*
