"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Year,,,,,,,,,,,
,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,Subject,Gender,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Achievement First Bridgeport Academy District,2850013,ELA,Female,272,50.4,278,54.7,265,65.3,289,70.6,286,48.6,282,48.2
Achievement First Bridgeport Academy District,2850013,ELA,Male,268,41,252,42.5,258,50.8,254,56.7,245,41.2,266,44.4
Achievement First Bridgeport Academy District,2850013,Math,Female,272,41.2,278,47.1,265,60.4,288,58.3,279,25.8,281,22.1
Achievement First Bridgeport Academy District,2850013,Math,Male,268,42.9,252,44.8,257,48.2,254,47.6,243,27.2,261,26.4
Achievement First Hartford Academy District,2880013,ELA,Female,295,52.2,321,55.5,345,61.4,310,62.9,286,41.3,268,43.3
Achievement First Hartford Academy District,2880013,ELA,Male,294,37.4,293,47.1,335,52.5,288,54.2,256,40.2,248,39.5
Achievement First Hartford Academy District,2880013,Math,Female,294,29.3,321,42.4,344,50.9,309,52.1,281,27,268,19.4
Achievement First Hartford Academy District,2880013,Math,Male,291,30.2,291,44,334,51.5,288,54.9,249,25.3,246,22.4
Amistad Academy District,2790013,ELA,Female,266,60.5,274,51.8,281,55.5,285,60.4,303,44.2,301,40.5
Amistad Academy District,2790013,ELA,Male,268,48.5,257,41.2,257,45.5,236,49.2,244,37.3,242,35.5
Amistad Academy District,2790013,Math,Female,266,47.7,274,51.8,281,52.7,285,50.5,299,18.1,297,19.2
Amistad Academy District,2790013,Math,Male,267,47.2,257,47.1,256,49.2,234,48.3,241,23.2,241,23.7
Andover School District,0010011,ELA,Female,74,81.1,62,80.6,61,86.9,51,90.2,37,62.2,43,67.4
Andover School District,0010011,ELA,Male,82,69.5,72,66.7,53,56.6,48,56.3,40,45,39,56.4
Andover School District,0010011,Math,Female,74,73,62,74.2,61,70.5,51,74.5,37,*,43,72.1
Andover School District,0010011,Math,Male,82,72,72,69.4,53,69.8,48,66.7,39,*,39,*
Ansonia School District,0020011,ELA,Female,508,37.8,484,39.7,526,44.5,487,42.9,511,26.6,512,21.1
Ansonia School District,0020011,ELA,Male,529,30.6,531,29,537,31.3,552,31.5,530,20,558,17.4
Ansonia School District,0020011,Math,Female,507,22.7,479,23.8,525,30.5,487,31.4,506,9.1,510,13.5
Ansonia School District,0020011,Math,Male,528,25.6,525,23.6,539,29.5,549,28.6,526,14.1,553,16.6
