"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Race/Ethnicity",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,Year,,,,,,,,,,,
,,,,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,District Code,School,School Code,Subject,Race/Ethnicity,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,ELA,American Indian or Alaska Native,*,*,*,*,*,*,*,*,*,*,*,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,ELA,Asian,7,*,6,*,*,*,*,*,*,*,*,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,ELA,Black or African American,298,45,283,48.1,286,58.4,274,66.1,286,45.8,291,44.7
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,ELA,Hispanic/Latino of any race,221,46.2,226,48.7,223,56.5,259,62.9,231,44.6,238,47.9
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,ELA,Two or More Races,*,*,*,*,*,*,*,*,*,*,*,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,ELA,White,7,*,9,*,*,*,6,*,7,*,8,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,ELA,Native Hawaiian or Other Pacific Islander,*,*,*,*,6,*,*,*,*,*,*,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,Math,American Indian or Alaska Native,*,*,*,*,*,*,*,*,*,*,*,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,Math,Asian,7,*,6,*,*,*,*,*,*,*,*,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,Math,Black or African American,298,39.3,283,44.5,285,55.1,274,55.8,282,24.1,286,21.7
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,Math,Hispanic/Latino of any race,221,44.8,226,46,223,51.6,258,51.2,226,29.2,238,26.1
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,Math,Two or More Races,*,*,*,*,*,*,*,*,*,*,*,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,Math,White,7,*,9,*,*,*,6,*,7,*,8,*
Achievement First Bridgeport Academy District,2850013,Achievement First Bridgeport Academy,2850113,Math,Native Hawaiian or Other Pacific Islander,*,*,*,*,6,*,*,*,*,*,*,*
