"Smarter Balanced Assessments, Trend",,,,,,,,,,,,,,
"State of Connecticut, ELA and Math, All Grades Combined, Race/Ethnicity",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Year,,,,,,,,,,,
,,,2015-16,,2016-17,,2017-18,,2018-19,,2021-22,,2022-23,
District,Subject,Race/Ethnicity,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%,Total Number with Scored Tests,Percentage Level 3 or 4 (Met or Exceeded)%
State of Connecticut,ELA,American Indian or Alaska Native,606,46.7,597,42.9,609,44.7,613,44.7,581,36.1,538,34.9
State of Connecticut,ELA,Asian,12058,75.3,12076,74.4,11994,76.1,11861,76.9,11509,73.2,11623,71.7
State of Connecticut,ELA,Black or African American,29518,31.3,29610,30.5,29522,33.2,29426,34.2,27769,28.7,27294,28.8
State of Connecticut,ELA,Hispanic/Latino of any race,54627,33.2,56963,32.3,59891,34.1,61553,35.7,65393,29.6,66963,29.2
State of Connecticut,ELA,Native Hawaiian or Other Pacific Islander,220,53.6,222,55,247,54.3,229,53.7,215,43.7,219,42
State of Connecticut,ELA,Two or More Races,6437,58.6,6975,57.8,7628,58.7,8253,58.6,9695,54.5,10061,53.3
State of Connecticut,ELA,White,131418,68.5,128152,67.3,123406,68.7,119017,69.2,105329,63.6,102906,63.2
State of Connecticut,Math,American Indian or Alaska Native,605,33.1,595,34.5,607,35.3,610,37,578,25.3,537,30.5
State of Connecticut,Math,Asian,12036,70.9,12063,72.9,11984,75,11840,76.9,11490,70.6,11604,71.7
State of Connecticut,Math,Black or African American,29418,17.6,29465,19.8,29433,21.7,29315,23.3,27565,16.3,27131,18.6
State of Connecticut,Math,Hispanic/Latino of any race,54453,21.2,56701,23.9,59742,25.3,61315,27,65000,20.2,66595,22.3
State of Connecticut,Math,Native Hawaiian or Other Pacific Islander,220,43.2,221,48.4,247,44.9,227,45.4,215,34.4,218,36.7
State of Connecticut,Math,Two or More Races,6423,46.9,6952,48.1,7615,49,8234,50.4,9649,44.5,10005,46.8
State of Connecticut,Math,White,131129,56.9,127847,58.6,123178,60.4,118793,62.1,104969,54.8,102609,58.3
