"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, English Learner Status (EL)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,English Learner Status (EL),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2850013,Achievement First Bridgeport Academy District,ELA,ELL,45,40,37,48,55,60,40.00%,30.00%,35.10%,43.80%,41.80%,56.70%,60.80%,52.10%,54.00%,64.50%,63.00%,73.90%
2850013,Achievement First Bridgeport Academy District,ELA,Non-ELL,377,386,376,382,372,386,50.70%,31.60%,49.50%,52.40%,46.00%,45.60%,69.80%,50.10%,69.20%,71.40%,67.60%,69.40%
2850013,Achievement First Bridgeport Academy District,Math,ELL,45,40,37,48,55,60,62.20%,40.00%,32.40%,37.50%,43.60%,28.30%,79.30%,57.70%,53.10%,54.40%,67.10%,48.10%
2850013,Achievement First Bridgeport Academy District,Math,Non-ELL,377,386,375,381,355,376,59.20%,38.10%,42.90%,45.10%,44.80%,32.20%,77.60%,55.60%,59.60%,62.70%,62.50%,54.10%
2880013,Achievement First Hartford Academy District,ELA,ELL,14,35,32,28,22,26,*,40.00%,53.10%,39.30%,36.40%,30.80%,*,54.00%,78.00%,55.50%,63.70%,52.60%
2880013,Achievement First Hartford Academy District,ELA,Non-ELL,451,453,507,464,406,381,47.70%,47.90%,52.50%,41.40%,47.50%,32.00%,71.50%,66.70%,72.60%,60.50%,70.70%,55.00%
2880013,Achievement First Hartford Academy District,Math,ELL,14,35,31,28,21,26,*,51.40%,58.10%,39.30%,66.70%,19.20%,*,73.30%,75.50%,54.70%,86.70%,36.40%
2880013,Achievement First Hartford Academy District,Math,Non-ELL,448,448,505,463,374,370,43.30%,50.20%,57.20%,38.90%,49.50%,18.40%,65.20%,67.90%,76.40%,57.60%,73.50%,34.80%
2790013,Amistad Academy District,ELA,ELL,24,29,43,43,48,61,54.20%,44.80%,37.20%,27.90%,50.00%,34.40%,68.10%,61.30%,59.00%,49.30%,73.20%,61.80%
2790013,Amistad Academy District,ELA,Non-ELL,389,399,384,367,383,381,43.40%,34.80%,40.10%,43.90%,54.60%,35.40%,67.10%,50.60%,60.40%,65.40%,77.50%,58.70%
2790013,Amistad Academy District,Math,ELL,24,29,43,43,47,59,45.80%,51.70%,37.20%,34.90%,51.10%,33.90%,62.60%,66.90%,62.90%,64.20%,66.90%,58.00%
2790013,Amistad Academy District,Math,Non-ELL,387,398,383,364,368,373,55.80%,44.50%,49.60%,46.20%,49.50%,35.10%,76.90%,61.60%,68.60%,64.80%,69.80%,57.10%
0010011,Andover School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0010011,Andover School District,ELA,Non-ELL,*,106,*,*,56,*,48.40%,41.50%,61.60%,49.30%,25.00%,59.30%,66.70%,62.30%,81.90%,74.60%,49.90%,83.80%
0010011,Andover School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0010011,Andover School District,Math,Non-ELL,*,106,*,*,56,*,50.00%,50.90%,65.10%,49.30%,50.00%,52.80%,76.10%,74.80%,83.50%,74.60%,71.70%,78.70%
0020011,Ansonia School District,ELA,ELL,8,15,27,30,44,44,*,*,25.90%,33.30%,36.40%,22.70%,*,*,60.80%,54.10%,68.00%,44.00%
0020011,Ansonia School District,ELA,Non-ELL,795,782,786,770,667,780,29.10%,28.80%,28.40%,26.40%,28.90%,23.10%,52.00%,51.20%,50.10%,47.30%,52.10%,46.60%
0020011,Ansonia School District,Math,ELL,8,15,26,30,44,44,*,*,57.70%,23.30%,31.80%,31.80%,*,*,81.50%,46.80%,57.00%,50.60%
0020011,Ansonia School District,Math,Non-ELL,795,774,781,769,652,770,35.00%,26.50%,35.90%,27.70%,28.70%,30.80%,57.40%,48.00%,58.50%,45.50%,50.60%,52.10%
2440014,Area Cooperative Educational Services,ELA,ELL,48,39,43,61,52,39,27.10%,17.90%,25.60%,26.20%,34.60%,25.60%,52.50%,45.10%,54.10%,49.20%,50.20%,41.80%
2440014,Area Cooperative Educational Services,ELA,Non-ELL,1075,1094,1064,1018,889,944,30.80%,35.90%,34.90%,34.40%,32.80%,27.90%,51.50%,57.00%,54.90%,53.60%,52.10%,46.80%
2440014,Area Cooperative Educational Services,Math,ELL,49,39,43,61,48,38,30.60%,33.30%,25.60%,29.50%,22.90%,31.60%,51.50%,52.60%,46.60%,46.60%,46.40%,51.60%
2440014,Area Cooperative Educational Services,Math,Non-ELL,1070,1085,1060,999,847,930,36.20%,38.00%,35.80%,38.00%,31.40%,32.50%,55.90%,56.80%,56.60%,57.50%,49.10%,51.20%
0030011,Ashford School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0030011,Ashford School District,ELA,Non-ELL,*,195,*,*,*,*,38.10%,40.50%,36.60%,34.80%,34.60%,34.30%,60.00%,57.70%,59.20%,55.20%,56.10%,55.70%
0030011,Ashford School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0030011,Ashford School District,Math,Non-ELL,*,195,*,*,*,*,41.70%,34.40%,43.20%,34.90%,38.50%,42.50%,58.10%,49.60%,61.50%,53.10%,58.00%,62.90%
0040011,Avon School District,ELA,ELL,16,16,12,20,18,19,*,*,*,55.00%,*,*,*,*,*,83.70%,*,*
0040011,Avon School District,ELA,Non-ELL,1217,1207,1195,1170,1101,1132,56.20%,46.90%,53.70%,53.20%,44.70%,42.80%,73.40%,63.90%,70.60%,69.80%,62.20%,60.00%
0040011,Avon School District,Math,ELL,24,16,12,20,18,19,50.00%,*,*,55.00%,*,*,79.30%,*,*,82.20%,*,*
0040011,Avon School District,Math,Non-ELL,1214,1204,1194,1168,1096,1131,57.70%,54.30%,59.70%,56.40%,52.00%,47.20%,76.10%,72.50%,77.70%,74.60%,68.30%,65.90%
0050011,Barkhamsted School District,ELA,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0050011,Barkhamsted School District,ELA,Non-ELL,133,119,111,*,*,75,45.10%,44.50%,36.90%,46.90%,53.80%,38.70%,69.90%,67.10%,60.30%,70.40%,79.30%,62.30%
0050011,Barkhamsted School District,Math,ELL,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0050011,Barkhamsted School District,Math,Non-ELL,133,118,109,*,*,75,34.60%,40.70%,35.80%,64.60%,56.30%,46.70%,66.40%,65.50%,62.00%,85.30%,74.30%,69.40%
0070011,Berlin School District,ELA,ELL,16,23,21,18,18,30,*,43.50%,33.30%,*,*,26.70%,*,66.70%,54.60%,*,*,52.80%
0070011,Berlin School District,ELA,Non-ELL,1071,1064,1008,1023,895,910,52.10%,38.90%,41.90%,37.20%,37.10%,38.20%,73.10%,56.20%,62.50%,55.70%,56.70%,60.40%
0070011,Berlin School District,Math,ELL,16,22,19,17,18,30,*,40.90%,*,*,*,50.00%,*,63.10%,*,*,*,78.80%
0070011,Berlin School District,Math,Non-ELL,1070,1063,1007,1019,886,904,44.80%,53.00%,44.80%,46.00%,46.50%,55.50%,66.60%,73.50%,63.70%,65.00%,67.10%,74.40%
0080011,Bethany School District,ELA,ELL,*,*,*,*,9,11,*,*,*,*,*,*,*,*,*,*,*,*
0080011,Bethany School District,ELA,Non-ELL,167,157,*,*,126,151,49.70%,43.30%,50.00%,55.00%,50.80%,57.60%,69.70%,63.00%,71.00%,73.30%,72.60%,73.80%
0080011,Bethany School District,Math,ELL,*,*,*,*,9,11,*,*,*,*,*,*,*,*,*,*,*,*
0080011,Bethany School District,Math,Non-ELL,167,157,*,*,125,150,55.70%,45.20%,48.40%,59.10%,58.40%,57.30%,78.70%,62.20%,71.30%,78.50%,78.10%,81.30%
0090011,Bethel School District,ELA,ELL,21,22,32,45,55,68,19.00%,50.00%,46.90%,22.20%,40.00%,30.90%,42.70%,65.80%,67.00%,60.70%,66.20%,61.60%
0090011,Bethel School District,ELA,Non-ELL,988,1065,1066,1091,1089,1078,51.90%,35.60%,44.00%,41.80%,39.60%,38.90%,71.40%,55.40%,64.40%,62.10%,58.80%,58.80%
0090011,Bethel School District,Math,ELL,24,22,32,45,54,66,45.80%,27.30%,65.60%,42.20%,63.00%,47.00%,69.70%,52.40%,92.00%,63.70%,82.70%,62.10%
0090011,Bethel School District,Math,Non-ELL,985,1061,1063,1090,1068,1061,59.00%,41.50%,49.90%,44.70%,53.80%,49.60%,80.00%,62.80%,72.20%,64.90%,73.10%,69.10%
0110011,Bloomfield School District,ELA,ELL,*,13,13,15,39,38,*,*,*,*,48.70%,23.70%,*,*,*,*,63.80%,52.60%
0110011,Bloomfield School District,ELA,Non-ELL,*,610,605,626,542,574,36.50%,32.00%,30.10%,35.10%,38.40%,26.30%,60.30%,50.60%,52.60%,55.60%,60.50%,45.10%
0110011,Bloomfield School District,Math,ELL,6,14,13,16,39,38,*,*,*,*,43.60%,23.70%,*,*,*,*,62.90%,46.60%
0110011,Bloomfield School District,Math,Non-ELL,559,609,604,623,541,569,43.50%,31.50%,40.70%,34.80%,42.00%,33.60%,65.50%,50.60%,60.40%,55.90%,62.90%,52.20%
