"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
District Code,District,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2850013,Achievement First Bridgeport Academy District,ELA,422,426,413,430,427,446,49.50%,31.50%,48.20%,51.40%,45.40%,47.10%,68.80%,50.30%,67.90%,70.60%,67.00%,70.00%
2850013,Achievement First Bridgeport Academy District,Math,422,426,412,429,410,436,59.50%,38.30%,42.00%,44.30%,44.60%,31.70%,77.80%,55.80%,59.00%,61.80%,63.10%,53.30%
2880013,Achievement First Hartford Academy District,ELA,465,488,539,492,428,407,48.20%,47.30%,52.50%,41.30%,47.00%,31.90%,71.70%,65.80%,73.00%,60.20%,70.40%,54.80%
2880013,Achievement First Hartford Academy District,Math,462,483,536,491,395,396,43.30%,50.30%,57.30%,38.90%,50.40%,18.40%,65.00%,68.30%,76.30%,57.40%,74.20%,34.90%
2790013,Amistad Academy District,ELA,413,428,427,410,431,442,44.10%,35.50%,39.80%,42.20%,54.10%,35.30%,67.20%,51.30%,60.20%,63.70%,77.10%,59.20%
2790013,Amistad Academy District,Math,411,427,426,407,415,432,55.20%,45.00%,48.40%,45.00%,49.60%,35.00%,76.00%,62.00%,68.00%,64.80%,69.40%,57.30%
0010011,Andover School District,ELA,125,106,87,75,56,56,48.80%,41.50%,60.90%,49.30%,25.00%,58.90%,67.00%,62.30%,81.00%,74.60%,49.90%,82.80%
0010011,Andover School District,Math,127,106,87,75,56,55,49.60%,50.90%,64.40%,48.00%,50.00%,50.90%,75.70%,74.80%,83.60%,73.70%,71.70%,76.70%
0020011,Ansonia School District,ELA,803,797,813,800,711,824,28.90%,28.70%,28.30%,26.60%,29.40%,23.10%,52.00%,51.10%,50.50%,47.60%,53.10%,46.50%
0020011,Ansonia School District,Math,803,789,807,799,696,814,34.90%,26.50%,36.60%,27.50%,28.90%,30.80%,57.30%,48.20%,59.30%,45.60%,51.00%,52.00%
2440014,Area Cooperative Educational Services,ELA,1123,1133,1107,1079,941,983,30.60%,35.30%,34.50%,33.90%,32.90%,27.80%,51.50%,56.60%,54.90%,53.40%,52.00%,46.60%
2440014,Area Cooperative Educational Services,Math,1119,1124,1103,1060,895,968,35.90%,37.80%,35.40%,37.50%,30.90%,32.40%,55.70%,56.60%,56.20%,56.90%,48.90%,51.20%
0030011,Ashford School District,ELA,195,195,184,189,164,171,37.90%,40.50%,37.00%,34.90%,34.80%,34.50%,59.70%,57.70%,59.50%,55.60%,56.10%,55.80%
0030011,Ashford School District,Math,193,195,184,188,163,169,42.00%,34.40%,42.90%,34.60%,38.00%,42.60%,58.30%,49.60%,61.40%,53.30%,58.10%,62.90%
0040011,Avon School District,ELA,1233,1223,1207,1190,1119,1151,55.90%,46.70%,53.40%,53.20%,44.30%,42.60%,73.20%,64.00%,70.60%,70.00%,62.10%,59.80%
