"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2850013,Achievement First Bridgeport Academy District,ELA,Male,210,204,199,202,196,220,47.10%,27.90%,46.20%,49.50%,41.30%,45.50%,67.80%,46.10%,64.80%,69.50%,60.90%,68.80%
2850013,Achievement First Bridgeport Academy District,ELA,Female,212,222,214,228,231,226,51.90%,34.70%,50.00%,53.10%,48.90%,48.70%,69.80%,54.10%,70.70%,71.60%,72.10%,71.20%
2850013,Achievement First Bridgeport Academy District,Math,Male,210,204,198,202,192,214,58.60%,36.30%,40.90%,44.10%,45.30%,37.90%,76.10%,51.20%,56.60%,63.20%,64.70%,58.30%
2850013,Achievement First Bridgeport Academy District,Math,Female,212,222,214,227,218,222,60.40%,40.10%,43.00%,44.50%,44.00%,25.70%,79.60%,60.00%,61.20%,60.50%,61.80%,48.40%
2880013,Achievement First Hartford Academy District,ELA,Male,230,223,262,230,206,186,45.70%,43.50%,50.40%,40.00%,45.60%,31.70%,69.90%,62.40%,71.00%,58.80%,67.80%,56.20%
2880013,Achievement First Hartford Academy District,ELA,Female,235,265,277,262,222,220,50.60%,50.60%,54.50%,42.40%,48.20%,32.30%,73.50%,68.60%,74.80%,61.40%,72.80%,53.60%
2880013,Achievement First Hartford Academy District,Math,Male,229,217,259,230,194,179,45.90%,46.50%,57.10%,36.10%,51.00%,17.30%,64.50%,63.50%,75.00%,53.00%,74.90%,31.90%
2880013,Achievement First Hartford Academy District,Math,Female,233,266,277,261,201,216,40.80%,53.40%,57.40%,41.40%,49.80%,19.00%,65.60%,72.20%,77.60%,61.40%,73.60%,37.00%
2790013,Amistad Academy District,ELA,Male,211,207,202,188,190,195,39.30%,34.80%,36.10%,37.80%,53.70%,37.90%,63.20%,50.30%,54.70%,59.30%,76.20%,60.00%
2790013,Amistad Academy District,ELA,Female,202,221,225,222,241,247,49.00%,36.20%,43.10%,45.90%,54.40%,33.20%,71.30%,52.30%,65.20%,67.40%,77.70%,58.50%
2790013,Amistad Academy District,Math,Male,209,206,201,186,181,193,52.60%,39.80%,46.30%,37.60%,53.60%,38.30%,74.90%,55.90%,65.00%,59.40%,70.60%,59.10%
2790013,Amistad Academy District,Math,Female,202,221,225,221,234,239,57.90%,49.80%,50.20%,51.10%,46.60%,32.20%,77.20%,67.70%,70.70%,69.30%,68.50%,55.80%
0010011,Andover School District,ELA,Male,67,58,43,33,29,29,40.30%,34.50%,51.20%,51.50%,27.60%,58.60%,60.50%,60.50%,72.50%,75.90%,52.30%,79.50%
0010011,Andover School District,ELA,Female,58,48,44,42,27,27,58.60%,50.00%,70.50%,47.60%,22.20%,59.30%,74.50%,64.60%,89.20%,73.60%,47.30%,86.30%
0010011,Andover School District,Math,Male,67,58,43,33,29,28,52.20%,50.00%,60.50%,51.50%,51.70%,53.60%,77.50%,74.40%,80.20%,78.20%,72.30%,75.20%
0010011,Andover School District,Math,Female,60,48,44,42,27,27,46.70%,52.10%,68.20%,45.20%,48.10%,48.10%,73.70%,75.20%,87.00%,70.20%,71.10%,78.20%
0020011,Ansonia School District,ELA,Male,403,414,409,417,358,422,29.80%,28.00%,28.10%,25.40%,31.00%,23.00%,53.10%,49.90%,49.90%,46.60%,54.00%,45.90%
0020011,Ansonia School District,ELA,Female,400,383,404,383,353,402,28.00%,29.50%,28.50%,27.90%,27.80%,23.10%,50.80%,52.30%,51.10%,48.60%,52.20%,47.10%
0020011,Ansonia School District,Math,Male,403,411,407,416,349,416,38.50%,24.80%,37.60%,26.40%,30.40%,31.70%,59.20%,45.90%,59.90%,44.10%,51.80%,53.20%
0020011,Ansonia School District,Math,Female,400,378,400,383,347,398,31.30%,28.30%,35.50%,28.70%,27.40%,29.90%,55.30%,50.60%,58.60%,47.20%,50.10%,50.80%
2440014,Area Cooperative Educational Services,ELA,Male,611,586,592,563,501,529,27.80%,33.10%,30.90%,30.70%,33.90%,24.00%,48.30%,55.40%,50.10%,50.20%,51.80%,43.60%
2440014,Area Cooperative Educational Services,ELA,Female,512,547,515,516,440,454,34.00%,37.70%,38.60%,37.40%,31.80%,32.20%,55.30%,58.00%,60.30%,56.80%,52.10%,50.20%
2440014,Area Cooperative Educational Services,Math,Male,607,580,590,547,472,518,32.90%,36.60%,32.50%,35.80%,32.80%,32.60%,52.40%,54.10%,53.20%,55.00%,50.20%,50.40%
2440014,Area Cooperative Educational Services,Math,Female,512,544,513,513,423,450,39.50%,39.20%,38.60%,39.40%,28.80%,32.20%,59.50%,59.30%,59.70%,58.90%,47.60%,52.10%
0030011,Ashford School District,ELA,Male,98,92,84,88,89,96,36.70%,38.00%,31.00%,30.70%,33.70%,33.30%,56.50%,54.10%,59.80%,48.30%,53.60%,56.20%
0030011,Ashford School District,ELA,Female,97,103,100,101,75,75,39.20%,42.70%,42.00%,38.60%,36.00%,36.00%,62.80%,60.90%,59.20%,62.10%,59.10%,55.20%
0030011,Ashford School District,Math,Male,96,92,84,88,88,95,43.80%,39.10%,38.10%,31.80%,43.20%,44.20%,61.40%,54.10%,57.50%,50.50%,60.90%,64.30%
0030011,Ashford School District,Math,Female,97,103,100,100,75,74,40.20%,30.10%,47.00%,37.00%,32.00%,40.50%,55.30%,45.60%,64.70%,55.70%,54.80%,61.00%
0040011,Avon School District,ELA,Male,634,635,596,576,525,552,53.00%,43.60%,54.40%,50.70%,40.80%,38.20%,72.20%,61.20%,71.40%,66.90%,58.50%,55.30%
0040011,Avon School District,ELA,Female,599,588,611,614,594,598,58.90%,50.00%,52.50%,55.50%,47.50%,46.50%,74.30%,67.00%,69.80%,72.90%,65.40%,63.90%
0040011,Avon School District,Math,Male,635,632,595,576,524,551,60.30%,57.10%,61.50%,58.90%,51.00%,48.80%,76.60%,73.60%,78.50%,75.40%,67.60%,67.40%
0040011,Avon School District,Math,Female,603,588,611,612,590,598,54.60%,51.40%,57.60%,54.10%,52.40%,45.50%,75.70%,71.70%,76.70%,74.00%,68.80%,64.40%
0050011,Barkhamsted School District,ELA,Male,66,61,58,53,34,35,43.90%,41.00%,31.00%,50.90%,38.20%,40.00%,67.30%,66.40%,58.00%,74.30%,67.30%,69.20%
0050011,Barkhamsted School District,ELA,Female,67,58,53,44,47,40,46.30%,48.30%,43.40%,40.90%,63.80%,37.50%,72.50%,67.90%,62.70%,64.20%,87.70%,56.20%
0050011,Barkhamsted School District,Math,Male,66,60,56,53,34,35,31.80%,45.00%,30.40%,66.00%,55.90%,34.30%,67.10%,68.30%,53.00%,89.10%,71.50%,58.00%
0050011,Barkhamsted School District,Math,Female,67,58,53,44,47,40,37.30%,36.20%,41.50%,61.40%,55.30%,57.50%,65.70%,62.60%,71.60%,78.90%,75.90%,79.40%
0070011,Berlin School District,ELA,Male,598,570,532,531,449,477,49.70%,39.30%,37.80%,35.20%,33.60%,36.10%,71.00%,56.80%,59.20%,54.10%,54.00%,58.50%
0070011,Berlin School District,ELA,Female,489,517,497,510,464,463,54.40%,38.70%,45.90%,38.80%,40.30%,39.70%,75.20%,56.00%,65.80%,57.00%,59.60%,62.00%
0070011,Berlin School District,Math,Male,597,568,530,528,446,474,44.40%,51.10%,43.80%,47.90%,46.60%,56.30%,65.60%,70.80%,62.30%,65.60%,67.30%,74.10%
0070011,Berlin School District,Math,Female,489,517,496,508,458,460,44.80%,54.50%,45.40%,44.30%,46.50%,54.30%,67.40%,76.00%,64.60%,64.80%,67.10%,74.90%
0080011,Bethany School District,ELA,Male,91,80,83,76,62,83,46.20%,36.30%,49.40%,52.60%,48.40%,61.40%,68.50%,57.80%,72.20%,70.10%,73.30%,80.80%
0080011,Bethany School District,ELA,Female,76,77,78,75,73,79,53.90%,50.60%,50.00%,56.00%,52.10%,53.20%,71.20%,68.40%,70.10%,75.40%,72.40%,67.40%
0080011,Bethany School District,Math,Male,91,80,83,76,61,83,47.30%,40.00%,47.00%,61.80%,63.90%,61.40%,70.50%,58.10%,69.00%,80.60%,81.30%,78.70%
0080011,Bethany School District,Math,Female,76,77,77,75,73,78,65.80%,50.60%,48.10%,56.00%,57.50%,50.00%,88.40%,66.40%,72.50%,75.90%,77.70%,80.20%
0090011,Bethel School District,ELA,Male,516,561,554,581,601,590,49.40%,35.70%,41.90%,36.30%,36.60%,37.10%,68.50%,55.10%,62.10%,57.50%,56.00%,59.60%
0090011,Bethel School District,ELA,Female,493,526,544,555,541,556,53.10%,36.10%,46.30%,45.90%,43.10%,39.70%,73.30%,56.30%,66.80%,66.80%,62.90%,58.30%
0090011,Bethel School District,Math,Male,516,558,551,581,588,578,59.50%,41.00%,51.00%,45.40%,56.00%,50.30%,79.10%,61.30%,72.90%,65.60%,75.00%,68.20%
0090011,Bethel School District,Math,Female,493,525,544,554,532,549,57.80%,41.30%,49.60%,43.70%,52.60%,48.50%,80.50%,64.00%,72.70%,64.10%,72.10%,69.20%
0110011,Bloomfield School District,ELA,Male,285,300,313,326,302,316,30.20%,29.70%,27.50%,33.10%,37.40%,25.60%,56.60%,49.10%,51.00%,52.70%,57.60%,44.20%
0110011,Bloomfield School District,ELA,Female,278,323,305,315,279,295,42.80%,34.10%,33.80%,36.20%,40.90%,26.80%,64.00%,52.20%,55.20%,58.00%,64.10%,47.20%
0110011,Bloomfield School District,Math,Male,285,299,313,324,300,313,42.50%,30.80%,43.10%,36.10%,41.70%,33.20%,66.00%,49.50%,62.40%,55.90%,63.30%,52.30%
0110011,Bloomfield School District,Math,Female,280,324,304,315,280,293,44.30%,33.00%,38.20%,33.00%,42.50%,32.80%,64.90%,52.50%,58.10%,54.90%,62.40%,51.50%
