"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Gender",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,ELA,Male,210,204,199,202,196,220,47.10%,27.90%,46.20%,49.50%,41.30%,45.50%,67.80%,46.10%,64.80%,69.50%,60.90%,68.80%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,ELA,Female,212,222,214,228,231,226,51.90%,34.70%,50.00%,53.10%,48.90%,48.70%,69.80%,54.10%,70.70%,71.60%,72.10%,71.20%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,Math,Male,210,204,198,202,192,214,58.60%,36.30%,40.90%,44.10%,45.30%,37.90%,76.10%,51.20%,56.60%,63.20%,64.70%,58.30%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,Math,Female,212,222,214,227,218,222,60.40%,40.10%,43.00%,44.50%,44.00%,25.70%,79.60%,60.00%,61.20%,60.50%,61.80%,48.40%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,ELA,Male,230,223,262,230,206,186,45.70%,43.50%,50.40%,40.00%,45.60%,31.70%,69.90%,62.40%,71.00%,58.80%,67.80%,56.20%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,ELA,Female,235,265,277,262,222,220,50.60%,50.60%,54.50%,42.40%,48.20%,32.30%,73.50%,68.60%,74.80%,61.40%,72.80%,53.60%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,Math,Male,229,217,259,230,194,179,45.90%,46.50%,57.10%,36.10%,51.00%,17.30%,64.50%,63.50%,75.00%,53.00%,74.90%,31.90%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,Math,Female,233,266,277,261,201,216,40.80%,53.40%,57.40%,41.40%,49.80%,19.00%,65.60%,72.20%,77.60%,61.40%,73.60%,37.00%
2790013,Amistad Academy District,2795113,Amistad Academy,ELA,Male,211,207,202,188,190,195,39.30%,34.80%,36.10%,37.80%,53.70%,37.90%,63.20%,50.30%,54.70%,59.30%,76.20%,60.00%
2790013,Amistad Academy District,2795113,Amistad Academy,ELA,Female,202,221,225,222,241,247,49.00%,36.20%,43.10%,45.90%,54.40%,33.20%,71.30%,52.30%,65.20%,67.40%,77.70%,58.50%
2790013,Amistad Academy District,2795113,Amistad Academy,Math,Male,209,206,201,186,181,193,52.60%,39.80%,46.30%,37.60%,53.60%,38.30%,74.90%,55.90%,65.00%,59.40%,70.60%,59.10%
2790013,Amistad Academy District,2795113,Amistad Academy,Math,Female,202,221,225,221,234,239,57.90%,49.80%,50.20%,51.10%,46.60%,32.20%,77.20%,67.70%,70.70%,69.30%,68.50%,55.80%
0010011,Andover School District,0010111,Andover Elementary School,ELA,Male,67,58,43,33,29,28,40.30%,34.50%,51.20%,51.50%,27.60%,57.10%,60.50%,60.50%,72.50%,75.90%,52.30%,78.40%
0010011,Andover School District,0010111,Andover Elementary School,ELA,Female,58,48,44,42,27,27,58.60%,50.00%,70.50%,47.60%,22.20%,59.30%,74.50%,64.60%,89.20%,73.60%,47.30%,86.30%
0010011,Andover School District,0010111,Andover Elementary School,Math,Male,67,58,43,33,29,28,52.20%,50.00%,60.50%,51.50%,51.70%,53.60%,77.50%,74.40%,80.20%,78.20%,72.30%,75.20%
0010011,Andover School District,0010111,Andover Elementary School,Math,Female,60,48,44,42,27,27,46.70%,52.10%,68.20%,45.20%,48.10%,48.10%,73.70%,75.20%,87.00%,70.20%,71.10%,78.20%
0020011,Ansonia School District,0025111,Ansonia Middle School,ELA,Male,164,160,155,162,202,251,23.80%,31.30%,27.70%,32.10%,30.20%,23.90%,44.10%,52.10%,44.40%,55.50%,50.20%,43.90%
0020011,Ansonia School District,0025111,Ansonia Middle School,ELA,Female,152,152,177,149,190,238,25.70%,34.20%,23.20%,30.90%,27.90%,20.20%,44.20%,54.10%,41.70%,50.20%,50.40%,42.80%
0020011,Ansonia School District,0025111,Ansonia Middle School,Math,Male,164,158,154,161,194,245,37.20%,17.70%,36.40%,25.50%,25.80%,28.60%,53.70%,33.10%,56.10%,38.00%,43.40%,45.30%
0020011,Ansonia School District,0025111,Ansonia Middle School,Math,Female,151,148,174,149,184,234,28.50%,21.60%,33.30%,24.20%,17.40%,26.90%,49.50%,38.90%,52.40%,37.00%,32.90%,42.90%
0020011,Ansonia School District,0020311,Mead School,ELA,Male,123,132,116,114,79,88,29.30%,24.20%,20.70%,20.20%,32.90%,28.40%,57.40%,48.70%,47.90%,37.50%,60.00%,59.70%
0020011,Ansonia School District,0020311,Mead School,ELA,Female,121,111,120,125,82,81,24.00%,25.20%,32.50%,20.80%,30.50%,33.30%,49.50%,52.20%,54.80%,42.40%,62.10%,60.30%
0020011,Ansonia School District,0020311,Mead School,Math,Male,123,132,115,114,79,88,34.10%,31.10%,40.90%,17.50%,31.60%,47.70%,59.00%,55.00%,61.70%,34.00%,61.20%,78.90%
0020011,Ansonia School District,0020311,Mead School,Math,Female,121,111,120,125,82,81,34.70%,36.90%,31.70%,24.80%,37.80%,35.80%,59.90%,62.90%,57.50%,45.00%,69.90%,67.90%
0020011,Ansonia School District,0020811,Prendergast School,ELA,Male,113,118,136,138,75,82,37.20%,27.10%,35.30%,21.00%,30.70%,14.60%,60.10%,47.70%,58.60%,43.20%,57.70%,37.90%
0020011,Ansonia School District,0020811,Prendergast School,ELA,Female,127,120,107,109,80,83,34.60%,27.50%,32.70%,32.10%,23.80%,21.70%,59.90%,50.30%,62.50%,53.40%,45.70%,46.40%
0020011,Ansonia School District,0020811,Prendergast School,Math,Male,113,117,135,138,74,82,45.10%,28.20%,37.00%,34.80%,41.90%,23.20%,66.60%,54.10%,64.20%,59.20%,64.90%,48.40%
0020011,Ansonia School District,0020811,Prendergast School,Math,Female,128,119,106,109,80,83,31.30%,28.60%,43.40%,39.40%,40.00%,32.50%,57.80%,53.80%,70.00%,63.80%,69.90%,56.40%
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,ELA,Male,*,*,*,*,*,*,*,*,*,*,15.00%,*,*,*,*,*,35.30%,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,Math,Male,*,*,*,*,*,*,*,*,*,*,30.00%,*,*,*,*,*,40.90%,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,ELA,Male,*,*,*,*,54,62,*,*,*,*,22.20%,17.70%,*,*,*,*,38.10%,41.80%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,ELA,Female,*,*,*,*,10,16,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,Math,Male,*,*,*,*,45,53,*,*,*,*,33.30%,26.40%,*,*,*,*,43.80%,44.90%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,Math,Female,*,*,*,*,9,13,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,ELA,Male,85,81,83,89,*,*,20.00%,27.20%,13.30%,15.70%,*,*,41.00%,52.90%,36.50%,31.10%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,ELA,Female,9,17,18,21,*,*,*,*,*,0.00%,*,*,*,*,*,29.00%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,Math,Male,79,75,82,77,*,*,26.60%,30.70%,19.50%,26.00%,*,*,46.40%,48.90%,40.00%,47.70%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,Math,Female,9,15,16,19,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,ELA,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,ELA,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,Male,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,Female,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,Male,*,*,*,*,285,329,*,*,*,*,39.30%,24.30%,*,*,*,*,56.50%,42.00%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,Female,*,*,*,*,286,293,*,*,*,*,33.90%,35.50%,*,*,*,*,54.40%,52.50%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,Math,Male,*,*,*,*,269,329,*,*,*,*,34.60%,35.60%,*,*,*,*,52.80%,53.10%
