"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades, Gender",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,Grade,Subject,Gender,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2850013,Achievement First Bridgeport Academy District,4,ELA,Female,38,48,49,42,44,46,84.20%,66.70%,49.00%,57.10%,61.40%,54.30%,99.60%,86.80%,72.70%,81.10%,85.60%,74.10%
2850013,Achievement First Bridgeport Academy District,4,ELA,Male,48,39,37,43,41,46,77.10%,53.80%,70.30%,53.50%,46.30%,56.50%,92.40%,81.40%,86.00%,76.60%,76.40%,79.20%
2850013,Achievement First Bridgeport Academy District,4,Math,Female,38,48,49,42,43,46,71.10%,60.40%,44.90%,31.00%,62.80%,28.30%,98.50%,83.30%,72.40%,52.60%,85.10%,57.30%
2850013,Achievement First Bridgeport Academy District,4,Math,Male,48,39,37,43,41,45,75.00%,51.30%,56.80%,39.50%,48.80%,35.60%,93.70%,71.60%,81.90%,60.70%,77.40%,61.60%
2850013,Achievement First Bridgeport Academy District,5,ELA,Female,44,41,48,55,47,43,40.90%,14.60%,39.60%,47.30%,27.70%,27.90%,55.10%,30.50%,53.00%,61.70%,56.00%,55.60%
2850013,Achievement First Bridgeport Academy District,5,ELA,Male,38,46,41,35,33,47,7.90%,6.50%,26.80%,40.00%,33.30%,29.80%,30.70%,13.90%,40.00%,60.70%,48.80%,50.60%
2850013,Achievement First Bridgeport Academy District,5,Math,Female,44,41,48,54,45,43,36.40%,26.80%,14.60%,35.20%,33.30%,9.30%,53.70%,42.20%,30.80%,45.60%,57.00%,28.20%
2850013,Achievement First Bridgeport Academy District,5,Math,Male,38,46,41,35,33,46,28.90%,13.00%,14.60%,42.90%,36.40%,10.90%,43.50%,21.00%,25.60%,59.80%,53.50%,27.00%
2850013,Achievement First Bridgeport Academy District,6,ELA,Female,45,49,35,49,54,50,42.20%,30.60%,62.90%,46.90%,37.00%,56.00%,61.10%,55.00%,79.20%,64.40%,64.70%,74.80%
2850013,Achievement First Bridgeport Academy District,6,ELA,Male,41,40,44,41,34,38,43.90%,22.50%,43.20%,31.70%,35.30%,23.70%,65.30%,39.70%,64.80%,49.30%,50.80%,49.80%
2850013,Achievement First Bridgeport Academy District,6,Math,Female,45,49,35,49,50,48,60.00%,28.60%,45.70%,44.90%,50.00%,25.00%,79.30%,42.70%,64.10%,64.70%,67.20%,43.50%
2850013,Achievement First Bridgeport Academy District,6,Math,Male,41,40,43,41,32,39,48.80%,32.50%,34.90%,39.00%,53.10%,43.60%,69.80%,49.30%,50.80%,54.80%,76.80%,63.10%
2850013,Achievement First Bridgeport Academy District,7,ELA,Female,41,44,40,42,34,56,24.40%,36.40%,47.50%,54.80%,55.90%,50.00%,41.80%,53.50%,69.10%,74.50%,73.60%,75.30%
2850013,Achievement First Bridgeport Academy District,7,ELA,Male,42,41,37,39,56,32,38.10%,31.70%,40.50%,51.30%,39.30%,68.80%,57.70%,52.20%,64.00%,72.40%,56.80%,89.60%
2850013,Achievement First Bridgeport Academy District,7,Math,Female,41,44,40,42,32,55,51.20%,36.40%,57.50%,61.90%,43.80%,23.60%,74.00%,65.10%,71.00%,72.70%,55.60%,48.30%
2850013,Achievement First Bridgeport Academy District,7,Math,Male,42,41,37,39,56,28,71.40%,48.80%,43.20%,43.60%,44.60%,57.10%,87.90%,64.80%,61.50%,68.40%,60.00%,71.30%
2850013,Achievement First Bridgeport Academy District,8,ELA,Female,44,40,42,40,52,31,70.50%,20.00%,54.80%,62.50%,65.40%,54.80%,94.00%,38.80%,83.20%,81.10%,82.10%,74.90%
2850013,Achievement First Bridgeport Academy District,8,ELA,Male,41,38,40,44,32,57,61.00%,28.90%,52.50%,68.20%,53.10%,50.90%,86.50%,49.10%,71.30%,86.00%,71.70%,76.50%
2850013,Achievement First Bridgeport Academy District,8,Math,Female,44,40,42,40,48,30,84.10%,47.50%,57.10%,52.50%,31.30%,50.00%,94.60%,65.90%,71.20%,71.00%,43.80%,71.60%
2850013,Achievement First Bridgeport Academy District,8,Math,Male,41,38,40,44,30,56,63.40%,39.50%,57.50%,54.50%,43.30%,48.20%,79.60%,54.50%,66.60%,71.50%,55.20%,71.60%
2880013,Achievement First Hartford Academy District,4,ELA,Female,39,41,39,48,51,57,64.10%,70.70%,53.80%,37.50%,39.20%,33.30%,87.30%,89.80%,77.10%,56.50%,63.90%,57.80%
2880013,Achievement First Hartford Academy District,4,ELA,Male,48,39,45,39,38,34,50.00%,69.20%,57.80%,48.70%,36.80%,29.40%,77.90%,92.00%,80.40%,69.10%,60.80%,63.20%
2880013,Achievement First Hartford Academy District,4,Math,Female,39,42,39,48,48,57,43.60%,81.00%,53.80%,20.80%,47.90%,36.80%,84.90%,99.00%,79.40%,36.60%,76.60%,63.90%
2880013,Achievement First Hartford Academy District,4,Math,Male,46,37,44,39,38,33,45.70%,81.10%,54.50%,35.90%,42.10%,33.30%,73.10%,100.00%,75.60%,45.30%,75.70%,61.40%
2880013,Achievement First Hartford Academy District,5,ELA,Female,74,66,52,48,42,47,35.10%,30.30%,51.90%,25.00%,35.70%,27.70%,61.40%,52.90%,67.40%,43.30%,69.10%,53.40%
2880013,Achievement First Hartford Academy District,5,ELA,Male,57,57,59,48,36,34,40.40%,24.60%,27.10%,35.40%,25.00%,26.50%,62.00%,44.20%,50.70%,49.10%,47.80%,54.30%
2880013,Achievement First Hartford Academy District,5,Math,Female,73,66,52,48,36,47,34.20%,33.30%,44.20%,41.70%,38.90%,6.40%,54.00%,50.80%,64.40%,58.70%,64.00%,20.10%
2880013,Achievement First Hartford Academy District,5,Math,Male,57,55,58,48,33,34,35.10%,21.80%,55.20%,16.70%,36.40%,11.80%,49.10%,34.90%,70.90%,31.50%,63.80%,18.00%
2880013,Achievement First Hartford Academy District,6,ELA,Female,61,67,59,46,44,32,52.50%,65.70%,61.00%,54.30%,59.10%,37.50%,78.30%,81.10%,78.90%,72.80%,80.10%,55.40%
2880013,Achievement First Hartford Academy District,6,ELA,Male,70,45,51,58,43,31,45.70%,46.70%,58.80%,44.80%,48.80%,29.00%,70.30%,70.00%,74.40%,61.10%,74.00%,47.50%
2880013,Achievement First Hartford Academy District,6,Math,Female,60,67,59,46,40,31,55.00%,59.70%,54.20%,41.30%,67.50%,6.50%,77.50%,79.60%,75.00%,66.80%,85.20%,21.50%
2880013,Achievement First Hartford Academy District,6,Math,Male,70,43,51,58,38,30,52.90%,58.10%,52.90%,34.50%,65.80%,13.30%,75.00%,76.50%,72.10%,57.30%,84.20%,29.90%
2880013,Achievement First Hartford Academy District,7,ELA,Female,32,60,65,58,41,45,56.30%,38.30%,44.60%,44.80%,63.40%,31.10%,70.00%,55.60%,71.10%,67.10%,82.00%,52.30%
2880013,Achievement First Hartford Academy District,7,ELA,Male,23,63,51,41,44,43,34.80%,36.50%,47.10%,36.60%,59.10%,30.20%,64.60%,50.20%,69.10%,59.40%,80.20%,55.90%
2880013,Achievement First Hartford Academy District,7,Math,Female,32,60,65,57,35,45,18.80%,41.70%,63.10%,52.60%,51.40%,26.70%,44.80%,64.00%,79.80%,75.20%,78.00%,44.80%
2880013,Achievement First Hartford Academy District,7,Math,Male,23,63,51,41,41,41,34.80%,36.50%,64.70%,51.20%,58.50%,19.50%,48.10%,55.20%,81.40%,71.20%,76.50%,37.80%
2880013,Achievement First Hartford Academy District,8,ELA,Female,29,31,62,62,44,39,62.10%,58.10%,61.30%,48.40%,45.50%,33.30%,79.70%,72.30%,79.80%,65.40%,70.60%,47.80%
2880013,Achievement First Hartford Academy District,8,ELA,Male,32,19,56,44,45,44,56.30%,*,64.30%,34.10%,53.30%,40.90%,74.70%,*,83.30%,56.50%,71.60%,58.70%
2880013,Achievement First Hartford Academy District,8,Math,Female,29,31,62,62,42,36,48.30%,67.70%,67.70%,46.80%,42.90%,8.30%,66.90%,81.50%,87.50%,65.90%,63.50%,20.20%
2880013,Achievement First Hartford Academy District,8,Math,Male,33,19,55,44,44,41,57.60%,*,58.20%,45.50%,50.00%,9.80%,68.20%,*,75.70%,60.40%,73.00%,15.40%
2790013,Amistad Academy District,4,ELA,Female,39,44,46,43,45,52,56.40%,31.80%,65.20%,41.90%,57.80%,30.80%,77.90%,47.10%,91.60%,71.40%,80.70%,60.00%
2790013,Amistad Academy District,4,ELA,Male,46,40,39,40,46,40,47.80%,45.00%,64.10%,55.00%,45.70%,47.50%,73.50%,60.20%,86.50%,80.60%,69.40%,75.90%
2790013,Amistad Academy District,4,Math,Female,39,44,46,43,44,51,69.20%,34.10%,56.50%,48.80%,38.60%,33.30%,92.20%,57.00%,82.90%,69.60%,72.40%,67.80%
2790013,Amistad Academy District,4,Math,Male,45,39,39,40,42,40,51.10%,23.10%,59.00%,52.50%,40.50%,47.50%,83.30%,42.30%,86.00%,78.70%,66.90%,76.10%
2790013,Amistad Academy District,5,ELA,Female,44,44,47,40,51,48,56.80%,40.90%,36.20%,37.50%,51.00%,25.00%,79.10%,58.30%,57.50%,62.80%,82.80%,46.80%
