"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,Special Education Status (SWD),2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,ELA,Special Education,38,38,35,31,41,47,47.40%,23.70%,28.60%,41.90%,29.30%,29.80%,71.60%,46.90%,57.50%,60.30%,48.30%,59.80%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,ELA,Non-Special Education,384,388,378,399,386,399,49.70%,32.20%,50.00%,52.10%,47.20%,49.10%,68.60%,50.60%,68.80%,71.50%,69.00%,71.20%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,Math,Special Education,38,38,34,31,40,45,36.80%,34.20%,23.50%,29.00%,37.50%,28.90%,60.80%,54.30%,43.20%,41.50%,56.50%,53.80%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,Math,Non-Special Education,384,388,378,398,370,391,61.70%,38.70%,43.70%,45.50%,45.40%,32.00%,79.50%,56.00%,60.40%,63.30%,63.80%,53.20%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,ELA,Special Education,47,52,72,59,40,35,34.00%,28.80%,40.30%,32.20%,37.50%,22.90%,62.40%,51.30%,58.30%,61.40%,67.20%,44.60%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,ELA,Non-Special Education,418,436,467,433,388,372,49.80%,49.50%,54.40%,42.50%,47.90%,32.80%,72.80%,67.50%,75.20%,60.00%,70.70%,55.80%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,Math,Special Education,48,52,71,59,38,35,29.20%,26.90%,36.60%,27.10%,39.50%,17.10%,47.90%,46.90%,52.90%,45.50%,59.00%,32.50%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,Math,Non-Special Education,414,431,465,432,357,361,44.90%,53.10%,60.40%,40.50%,51.50%,18.60%,67.00%,70.90%,79.90%,59.10%,75.80%,35.10%
2790013,Amistad Academy District,2795113,Amistad Academy,ELA,Special Education,31,34,26,32,34,40,32.30%,35.30%,23.10%,28.10%,29.40%,27.50%,63.30%,48.50%,30.60%,54.20%,48.30%,53.40%
2790013,Amistad Academy District,2795113,Amistad Academy,ELA,Non-Special Education,382,394,401,378,397,402,45.00%,35.50%,40.90%,43.40%,56.20%,36.10%,67.50%,51.60%,62.10%,64.50%,79.50%,59.70%
2790013,Amistad Academy District,2795113,Amistad Academy,Math,Special Education,30,34,25,31,32,39,43.30%,29.40%,40.00%,16.10%,34.40%,28.20%,57.50%,43.30%,69.10%,33.50%,56.10%,46.00%
2790013,Amistad Academy District,2795113,Amistad Academy,Math,Non-Special Education,381,393,401,376,383,393,56.20%,46.30%,48.90%,47.30%,50.90%,35.60%,77.50%,63.60%,68.00%,67.40%,70.60%,58.40%
0010011,Andover School District,0010111,Andover Elementary School,ELA,Special Education,*,*,6,6,11,10,*,*,*,*,*,*,*,*,*,*,*,*
0010011,Andover School District,0010111,Andover Elementary School,ELA,Non-Special Education,*,*,81,69,45,45,50.00%,43.10%,64.20%,52.20%,28.90%,64.40%,67.90%,64.10%,84.10%,74.90%,50.30%,88.70%
0010011,Andover School District,0010111,Andover Elementary School,Math,Special Education,*,*,6,6,11,10,*,*,*,*,*,*,*,*,*,*,*,*
0010011,Andover School District,0010111,Andover Elementary School,Math,Non-Special Education,*,*,81,69,45,45,50.00%,51.00%,63.00%,47.80%,53.30%,57.80%,76.80%,75.40%,82.00%,73.80%,73.40%,86.70%
0020011,Ansonia School District,0025111,Ansonia Middle School,ELA,Special Education,56,59,51,52,63,86,12.50%,18.60%,17.60%,26.90%,22.20%,18.60%,36.20%,41.80%,33.90%,56.50%,41.90%,40.50%
0020011,Ansonia School District,0025111,Ansonia Middle School,ELA,Non-Special Education,260,253,281,259,329,403,27.30%,36.00%,26.70%,32.40%,30.40%,22.80%,45.80%,55.70%,44.60%,52.30%,51.90%,44.00%
0020011,Ansonia School District,0025111,Ansonia Middle School,Math,Special Education,56,59,52,52,63,85,21.40%,11.90%,30.80%,21.20%,20.60%,31.80%,38.60%,31.60%,50.10%,35.70%,31.50%,46.80%
0020011,Ansonia School District,0025111,Ansonia Middle School,Math,Non-Special Education,259,247,276,258,315,394,35.50%,21.50%,35.50%,25.60%,21.90%,26.90%,54.50%,36.90%,54.90%,37.90%,39.70%,43.60%
0020011,Ansonia School District,0020311,Mead School,ELA,Special Education,33,33,41,44,26,25,18.20%,33.30%,26.80%,15.90%,23.10%,20.00%,49.40%,58.00%,51.70%,34.30%,53.90%,40.90%
0020011,Ansonia School District,0020311,Mead School,ELA,Non-Special Education,211,210,195,195,135,144,28.00%,23.30%,26.70%,21.50%,33.30%,32.60%,54.10%,49.10%,51.30%,41.30%,62.40%,63.30%
0020011,Ansonia School District,0020311,Mead School,Math,Special Education,33,33,41,44,26,25,30.30%,30.30%,36.60%,18.20%,30.80%,44.00%,53.30%,49.80%,58.00%,34.20%,60.80%,75.00%
0020011,Ansonia School District,0020311,Mead School,Math,Non-Special Education,211,210,194,195,135,144,35.10%,34.30%,36.10%,22.10%,35.60%,41.70%,60.40%,60.00%,59.90%,41.00%,66.60%,73.40%
0020011,Ansonia School District,0020811,Prendergast School,ELA,Special Education,38,40,45,44,21,18,28.90%,15.00%,33.30%,22.70%,14.30%,*,59.80%,37.30%,55.90%,45.20%,36.10%,*
0020011,Ansonia School District,0020811,Prendergast School,ELA,Non-Special Education,202,198,198,203,134,147,37.10%,29.80%,34.30%,26.60%,29.10%,19.70%,60.00%,51.30%,61.30%,48.20%,53.90%,43.70%
0020011,Ansonia School District,0020811,Prendergast School,Math,Special Education,38,40,44,44,21,18,21.10%,27.50%,34.10%,34.10%,23.80%,*,47.10%,51.90%,56.10%,55.10%,42.10%,*
0020011,Ansonia School District,0020811,Prendergast School,Math,Non-Special Education,203,196,197,203,133,147,40.90%,28.60%,41.10%,37.40%,43.60%,27.20%,64.70%,54.40%,69.10%,62.60%,71.50%,50.80%
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,ELA,Special Education,*,*,*,*,*,*,*,*,*,*,8.70%,*,*,*,*,*,28.70%,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,ELA,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,Math,Special Education,*,*,*,*,*,*,*,*,*,*,31.80%,*,*,*,*,*,47.20%,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,Math,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,ELA,Special Education,*,*,*,*,*,70,*,*,*,*,24.60%,21.40%,*,*,*,*,40.20%,43.20%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,ELA,Non-Special Education,*,*,*,*,*,8,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,Math,Special Education,*,*,*,*,54,*,*,*,*,*,31.50%,27.90%,*,*,*,*,40.80%,47.70%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,Math,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,ELA,Special Education,*,*,*,*,*,*,21.70%,28.70%,12.10%,12.10%,*,*,44.40%,53.50%,35.30%,30.50%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,ELA,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,Math,Special Education,*,*,*,*,*,*,26.70%,27.90%,20.80%,23.40%,*,*,48.20%,46.20%,42.10%,45.20%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,Math,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,ELA,Special Education,*,*,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,ELA,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,Special Education,*,*,*,*,*,6,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,Non-Special Education,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,Special Education,*,*,*,*,70,82,*,*,*,*,30.00%,15.90%,*,*,*,*,47.50%,34.30%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,Non-Special Education,*,*,*,*,501,540,*,*,*,*,37.50%,31.70%,*,*,*,*,56.50%,48.90%
