"Smarter Balanced Growth Report, Trend",,,,,,,,,,,,,,,,,,,,,,
"All Districts, ELA and Math, All Grades Combined, All Students",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Number ofMatched Students,,,,,,Growth Rate,,,,,,Average Percentageof Target Achieved,,,,,
,,,,,School Year,,,,,,School Year,,,,,,School Year,,,,,
District Code,District,School Code,School,Subject,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23,2015-16,2016-17,2017-18,2018-19,2021-22,2022-23
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,ELA,422,426,413,430,427,446,49.50%,31.50%,48.20%,51.40%,45.40%,47.10%,68.80%,50.30%,67.90%,70.60%,67.00%,70.00%
2850013,Achievement First Bridgeport Academy District,2850113,Achievement First Bridgeport Academy,Math,422,426,412,429,410,436,59.50%,38.30%,42.00%,44.30%,44.60%,31.70%,77.80%,55.80%,59.00%,61.80%,63.10%,53.30%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,ELA,465,488,539,492,428,407,48.20%,47.30%,52.50%,41.30%,47.00%,31.90%,71.70%,65.80%,73.00%,60.20%,70.40%,54.80%
2880013,Achievement First Hartford Academy District,2880113,Achievement First Hartford Academy,Math,462,483,536,491,395,396,43.30%,50.30%,57.30%,38.90%,50.40%,18.40%,65.00%,68.30%,76.30%,57.40%,74.20%,34.90%
2790013,Amistad Academy District,2795113,Amistad Academy,ELA,413,428,427,410,431,442,44.10%,35.50%,39.80%,42.20%,54.10%,35.30%,67.20%,51.30%,60.20%,63.70%,77.10%,59.20%
2790013,Amistad Academy District,2795113,Amistad Academy,Math,411,427,426,407,415,432,55.20%,45.00%,48.40%,45.00%,49.60%,35.00%,76.00%,62.00%,68.00%,64.80%,69.40%,57.30%
0010011,Andover School District,0010111,Andover Elementary School,ELA,125,106,87,75,56,55,48.80%,41.50%,60.90%,49.30%,25.00%,58.20%,67.00%,62.30%,81.00%,74.60%,49.90%,82.30%
0010011,Andover School District,0010111,Andover Elementary School,Math,127,106,87,75,56,55,49.60%,50.90%,64.40%,48.00%,50.00%,50.90%,75.70%,74.80%,83.60%,73.70%,71.70%,76.70%
0020011,Ansonia School District,0025111,Ansonia Middle School,ELA,316,312,332,311,392,489,24.70%,32.70%,25.30%,31.50%,29.10%,22.10%,44.10%,53.10%,42.90%,53.00%,50.30%,43.40%
0020011,Ansonia School District,0025111,Ansonia Middle School,Math,315,306,328,310,378,479,33.00%,19.60%,34.80%,24.80%,21.70%,27.80%,51.70%,35.90%,54.10%,37.50%,38.30%,44.20%
0020011,Ansonia School District,0020311,Mead School,ELA,244,243,236,239,161,169,26.60%,24.70%,26.70%,20.50%,31.70%,30.80%,53.50%,50.30%,51.40%,40.10%,61.10%,60.00%
0020011,Ansonia School District,0020311,Mead School,Math,244,243,235,239,161,169,34.40%,33.70%,36.20%,21.30%,34.80%,42.00%,59.40%,58.60%,59.60%,39.70%,65.70%,73.60%
0020011,Ansonia School District,0020811,Prendergast School,ELA,240,238,243,247,155,165,35.80%,27.30%,34.20%,25.90%,27.10%,18.20%,60.00%,49.00%,60.30%,47.70%,51.50%,42.20%
0020011,Ansonia School District,0020811,Prendergast School,Math,241,236,241,247,154,165,37.80%,28.40%,39.80%,36.80%,40.90%,27.90%,61.90%,53.90%,66.70%,61.20%,67.50%,52.40%
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,ELA,*,*,*,*,25,*,*,*,*,*,12.00%,*,*,*,*,*,31.90%,*
2440014,Area Cooperative Educational Services,2440214,ACES Mill Elementary School,Math,*,*,*,*,24,*,*,*,*,*,29.20%,*,*,*,*,*,43.20%,*
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,ELA,*,*,*,*,64,78,*,*,*,*,23.40%,20.50%,*,*,*,*,40.60%,43.60%
2440014,Area Cooperative Educational Services,2449414,ACES Mill Road School,Math,*,*,*,*,54,66,*,*,*,*,31.50%,27.30%,*,*,*,*,40.80%,46.60%
2440014,Area Cooperative Educational Services,2449414,Mill Academy,ELA,94,98,101,*,*,*,21.30%,27.60%,13.90%,12.70%,*,*,44.00%,52.10%,36.70%,30.70%,*,*
2440014,Area Cooperative Educational Services,2449414,Mill Academy,Math,88,90,98,96,*,*,26.10%,27.80%,21.40%,22.90%,*,*,48.00%,46.30%,42.40%,44.30%,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440514,ACES at Ansonia Middle School,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,ELA,*,*,*,*,571,622,*,*,*,*,36.60%,29.60%,*,*,*,*,55.40%,47.00%
2440014,Area Cooperative Educational Services,2445114,ACES at Chase,Math,*,*,*,*,551,621,*,*,*,*,33.00%,34.60%,*,*,*,*,51.70%,53.10%
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,ELA,694,707,682,680,*,*,28.50%,37.50%,40.20%,37.50%,*,*,47.50%,57.40%,59.40%,56.70%,*,*
2440014,Area Cooperative Educational Services,2445114,Thomas Edison Magnet Middle School,Math,696,706,681,677,*,*,36.90%,41.80%,37.20%,41.80%,*,*,55.50%,60.50%,57.50%,59.90%,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440414,ACES at Mead Elementary School,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,ELA,*,*,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2449514,Village School,Math,*,*,*,*,*,9,*,*,*,*,*,*,*,*,*,*,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,ELA,334,327,323,285,*,*,37.40%,33.00%,28.80%,34.00%,*,*,61.90%,56.50%,50.70%,54.90%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict  Magnet School,Math,334,327,323,285,*,*,36.50%,32.10%,35.60%,32.60%,*,*,58.30%,51.30%,57.60%,54.30%,*,*
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,ELA,*,*,*,*,270,260,*,*,*,*,30.40%,26.50%,*,*,*,*,50.30%,46.50%
2440014,Area Cooperative Educational Services,2440314,Wintergreen Interdistrict Magnet School,Math,*,*,*,*,255,259,*,*,*,*,27.10%,29.30%,*,*,*,*,45.90%,47.80%
0030011,Ashford School District,0030111,Ashford School,ELA,194,194,184,189,164,171,37.60%,40.20%,37.00%,34.90%,34.80%,34.50%,59.40%,57.40%,59.50%,55.60%,56.10%,55.80%
0030011,Ashford School District,0030111,Ashford School,Math,193,194,184,188,163,169,42.00%,34.00%,42.90%,34.60%,38.00%,42.60%,58.30%,49.30%,61.40%,53.30%,58.10%,62.90%
0040011,Avon School District,0045111,Avon Middle School,ELA,518,522,524,481,477,492,54.40%,43.70%,52.90%,53.60%,45.50%,42.70%,70.00%,59.00%,69.00%,68.90%,61.10%,57.30%
0040011,Avon School District,0045111,Avon Middle School,Math,518,520,524,480,474,491,65.40%,63.80%,68.70%,62.10%,52.10%,47.30%,81.40%,78.20%,84.40%,75.10%,65.20%,61.40%
0040011,Avon School District,0040411,Pine Grove School,ELA,102,121,118,135,114,106,50.00%,46.30%,49.20%,54.80%,37.70%,45.30%,70.60%,68.60%,69.00%,72.60%,69.60%,64.20%
0040011,Avon School District,0040411,Pine Grove School,Math,106,121,118,135,114,106,43.40%,48.80%,44.90%,43.00%,46.50%,31.10%,70.60%,76.40%,70.50%,74.70%,73.30%,63.00%
0040011,Avon School District,0040311,Roaring Brook School,ELA,99,112,100,104,73,115,56.60%,49.10%,57.00%,46.20%,49.30%,43.50%,74.60%,65.70%,75.00%,66.40%,59.80%,67.30%
0040011,Avon School District,0040311,Roaring Brook School,Math,98,112,99,104,73,115,44.90%,33.90%,54.50%,42.30%,41.10%,44.30%,65.50%,59.40%,72.00%,67.40%,63.80%,73.90%
0040011,Avon School District,0040511,Thompson Brook School,ELA,514,468,465,469,454,436,58.40%,49.60%,54.40%,53.70%,44.10%,41.70%,76.60%,68.00%,71.70%,71.10%,61.60%,59.70%
0040011,Avon School District,0040511,Thompson Brook School,Math,516,467,465,468,453,436,54.80%,50.10%,54.00%,57.50%,54.30%,51.80%,74.20%,68.80%,72.90%,75.80%,70.80%,69.80%
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,ELA,*,*,*,96,*,*,44.70%,44.10%,37.60%,46.90%,54.50%,38.00%,69.60%,66.70%,61.40%,69.90%,79.50%,61.90%
0050011,Barkhamsted School District,0050111,Barkhamsted Elementary School,Math,*,*,*,96,*,*,34.80%,40.20%,36.40%,64.60%,58.40%,49.30%,66.20%,65.10%,63.20%,84.40%,77.90%,71.80%
0050011,Barkhamsted School District,0050211,Bridges at Barkhamsted Elementary School,ELA,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
0050011,Barkhamsted School District,0050211,Bridges at Barkhamsted Elementary School,Math,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
